kanaele;filterpapier;zeit_filterpapier;co60;zeit_co60;ba133;zeit_ba133;background;zeit_background
225;0;;0;;0;;2;
226;2;;0;;0;;4;
227;1;;1;;0;;5;
228;1;;1;;0;;11;
229;3;;0;;0;;6;
230;1;;0;;0;;11;
231;3;;0;;0;;10;
232;0;;0;;0;;12;
233;2;;0;;1;;17;
234;0;;0;;0;;25;
235;1;;1;;1;;49;
236;3;;0;;0;;87;
237;5;;1;;0;;152;
238;7;;0;;0;;262;
239;6;;0;;1;;402;
240;12;;0;;0;;542;
241;13;;0;;0;;748;
242;13;;1;;0;;798;
243;8;;1;;0;;820;
244;2;;0;;0;;762;
245;4;;0;;1;;655;
246;3;;3;;6;;580;
247;2;;0;;2;;498;
248;3;;0;;0;;377;
249;3;;0;;0;;296;
250;2;;0;;1;;230;
251;0;;0;;0;;175;
252;0;;1;;2;;128;
253;2;;0;;1;;83;
254;3;;1;;0;;46;
255;2;;1;;1;;28;
256;0;;2;;1;;17;
257;1;;1;;0;;10;
258;1;;0;;0;;9;
259;1;;0;;0;;11;
260;0;;0;;1;;15;
261;1;;0;;0;;13;
262;0;;0;;0;;8;
263;1;;0;;0;;15;
264;1;;0;;0;;5;
265;1;;1;;1;;6;
266;2;;0;;0;;6;
267;0;;0;;0;;6;
268;0;;0;;1;;8;
269;3;;0;;1;;6;
270;3;;2;;1;;7;
271;0;;2;;0;;6;
272;1;;1;;0;;9;
273;1;;0;;1;;9;
274;2;;0;;0;;6;
275;1;;1;;1;;6;
276;1;;1;;1;;7;
277;1;;0;;1;;5;
278;1;;3;;0;;8;
279;2;;2;;1;;12;
280;1;;0;;1;;11;
281;3;;0;;0;;4;
282;2;;1;;0;;5;
283;2;;1;;0;;13;
284;1;;1;;0;;10;
285;2;;0;;1;;13;
286;0;;0;;0;;6;
287;2;;0;;0;;14;
288;0;;0;;1;;8;
289;1;;0;;0;;4;
290;1;;2;;0;;6;
291;2;;0;;0;;9;
292;3;;0;;0;;9;
293;1;;0;;0;;8;
294;3;;0;;0;;7;
295;2;;1;;0;;7;
296;2;;2;;1;;9;
297;0;;2;;1;;8;
298;2;;1;;1;;5;
299;4;;1;;1;;7;
300;2;;0;;0;;4;
301;1;;1;;1;;9;
302;1;;1;;0;;11;
303;0;;0;;1;;7;
304;2;;0;;0;;8;
305;3;;1;;0;;11;
306;0;;0;;0;;9;
307;2;;0;;0;;11;
308;2;;1;;0;;11;
309;0;;0;;0;;8;
310;2;;0;;1;;10;
311;3;;0;;0;;10;
312;1;;0;;1;;10;
313;1;;1;;0;;9;
314;1;;1;;0;;8;
315;2;;0;;0;;7;
316;3;;0;;0;;8;
317;2;;1;;0;;7;
318;0;;1;;1;;12;
319;1;;0;;1;;10;
320;4;;1;;1;;11;
321;2;;1;;0;;9;
322;0;;0;;0;;11;
323;1;;0;;1;;8;
